dist,measure
5.188878746492209e-10,4.474972638468225e-08
6.374336054883261e-10,4.391866401146559e-08
6.374336054883261e-10,4.369514821372905e-08
6.374336054883261e-10,4.3678310298726447e-08
6.374336054883261e-10,4.3472954985640956e-08
6.374336054883261e-10,4.3419561266180696e-08
6.374336054883261e-10,4.2812076258720256e-08
8.082669775389631e-10,4.279125533585288e-08
8.082669775389631e-10,4.275560177901155e-08
8.082669775389631e-10,4.271781257709791e-08
8.082669775389631e-10,4.168318904938126e-08
8.082669775389631e-10,4.0758514265838013e-08
8.082669775389631e-10,4.067714779065501e-08
9.300448447982181e-10,4.02622563977289e-08
9.300448447982181e-10,4.012505712026189e-08
9.300448447982181e-10,3.9990271450405964e-08
9.300448447982181e-10,3.932655281351995e-08
9.300448447982181e-10,3.901880100422979e-08
9.300448447982181e-10,3.887756886447304e-08
1.8573374470571099e-09,3.863242098938531e-08
1.8573374470571099e-09,3.821624831938679e-08
1.8573374470571099e-09,3.819360235615758e-08
1.8573374470571099e-09,3.8156864188870723e-08
1.8573374470571099e-09,3.80832760634944e-08
1.8573374470571099e-09,3.8070515425255814e-08
2.0151712021021275e-09,3.804186159499361e-08
2.0151712021021275e-09,3.7645127672957844e-08
2.0151712021021275e-09,3.755744617280952e-08
2.0151712021021275e-09,3.743308446329158e-08
2.0151712021021275e-09,3.721860744014354e-08
2.0151712021021275e-09,3.718650809176629e-08
2.1379713356008496e-09,3.7044484299308104e-08
2.1379713356008496e-09,3.700756598879816e-08
2.1379713356008496e-09,3.682753397630301e-08
2.1379713356008496e-09,3.659693556775807e-08
2.1379713356008496e-09,3.65802661384555e-08
2.1379713356008496e-09,3.6226465344386e-08
2.759818513058279e-09,3.6219084386021014e-08
2.759818513058279e-09,3.560455513953058e-08
2.759818513058279e-09,3.5601801807213183e-08
2.759818513058279e-09,3.540320771294549e-08
2.759818513058279e-09,3.535808806897284e-08
2.759818513058279e-09,3.5340593504048155e-08
3.9450888999980166e-09,3.5287712640498514e-08
3.9450888999980166e-09,3.5284990054566284e-08
3.9450888999980166e-09,3.526586894678968e-08
3.9450888999980166e-09,3.515047342045582e-08
3.9450888999980166e-09,3.463077322126663e-08
3.9450888999980166e-09,3.4577036176109675e-08
4.5477577241684905e-09,3.4507985650898146e-08
4.5477577241684905e-09,3.4432358338775964e-08
4.5477577241684905e-09,3.437183723510756e-08
4.5477577241684905e-09,3.4356502857254856e-08
4.5477577241684905e-09,3.411823008445369e-08
4.5477577241684905e-09,3.409647248811006e-08
5.506648347291464e-09,3.40663959667486e-08
5.506648347291464e-09,3.395437776407886e-08
5.506648347291464e-09,3.355386653565696e-08
5.506648347291464e-09,3.340387828789182e-08
5.506648347291464e-09,3.337149660945229e-08
5.506648347291464e-09,3.335731793629194e-08
6.3979465565158414e-09,3.327929821020832e-08
6.3979465565158414e-09,3.268235509087907e-08
6.3979465565158414e-09,3.2667289274148546e-08
6.3979465565158414e-09,3.257551879827311e-08
6.3979465565158414e-09,3.2517682665951125e-08
6.3979465565158414e-09,3.241220076430603e-08
