r,w
0.03871950276290974,1.7758793474850712e-06
0.039046091673569226,1.7585991602845452e-06
0.03953194201227429,1.758599160284545e-06
0.03993798051481321,1.758599160284545e-06
0.040231803455999283,1.7527924275897667e-06
0.04029283335312767,1.6219023070867047e-06
0.04038053003171131,1.612390058887727e-06
0.04047769601289088,1.6007134988047269e-06
0.041345799481793025,1.6007134988047266e-06
0.04165241350167012,1.5436879309337615e-06
0.04174592791745453,1.5436879309337613e-06
0.04329734529353887,1.543687930933761e-06
0.04395806204180214,1.5390522268517102e-06
0.04507397083095354,1.5390522268517096e-06
0.045470986956234936,1.5358013567670091e-06
0.046208515691477485,1.5318863069447532e-06
0.04621464455442224,1.5318863069447526e-06
0.048779181947182254,1.4875358295519555e-06
0.050054976644661776,1.477536416721096e-06
0.05029692705831439,1.477536416721096e-06
0.050656340571675985,1.4414972631834864e-06
0.05174001750417813,1.4414972631834862e-06
0.052052142727434726,1.4272835096199052e-06
0.052131561604179026,1.417938460807337e-06
0.0522859123216357,1.417938460807337e-06
0.05283929475320572,1.3561430386781607e-06
0.0528987315809786,1.3561430386781605e-06
0.053300783097018654,1.263782181766767e-06
0.05362801404014404,1.196057801027526e-06
0.05368744859763721,1.1925080244826389e-06
0.053832828792878,1.1925080244826384e-06
0.05398756513752316,1.1925080244826384e-06
0.05422129692601148,1.1888087406865182e-06
0.05455175187029414,1.1798696191827867e-06
0.05470828692681731,1.1111908554561321e-06
0.05569206542714945,1.1067256202697754e-06
0.05593820690322683,1.1067256202697754e-06
0.05620275380841364,1.1067256202697712e-06
0.05675711873320585,1.0654135568203527e-06
0.057489872964960685,1.0654135568203527e-06
0.05905718762733011,1.0552525201335858e-06
0.060562451839498085,1.0552525201335856e-06
0.06068120078366371,1.0552525201335854e-06
0.06215415196106173,1.0546853522621224e-06
0.06282521744158054,1.0546853522621222e-06
0.06362607561766319,1.030161734679029e-06
0.06394660652153557,1.014146025264501e-06
0.06443672284266674,1.014146025264501e-06
0.06462098956661215,1.0012051977001368e-06
0.06621579536965336,9.998543648355148e-07
0.06665040958468103,9.998543648355148e-07
0.06703424598018824,9.998543648355148e-07
0.06791254026913486,8.968758818143503e-07
0.06840243644502193,8.968758818143503e-07
0.06882339133767808,8.968758818143503e-07
0.06910631558727154,8.791410722037964e-07
0.0700780455302621,8.61429312378695e-07
0.07008663359023228,8.418032573720746e-07
0.07095056768984553,8.418032573720742e-07
0.07109433095129315,8.418032573720741e-07
0.07149115197685105,8.349995179153345e-07
0.07189191462275081,8.349995179153344e-07
